"TOA5","Coopevega","CR200X","18977","CR200X.Std.04","CVG15062021.CR2","54234","Horarios"
"TIMESTAMP","RECORD","ESTACION","TEMP_C_Avg","RH_Avg","LLUV_mm_Tot","VOLT_BAT_Max","VOLT_BAT_Min","RH_caja_Max","muestreoScan_Tot","Td_Avg","es_Avg","TEMP_C_Std","RH_Std"
"TS","RN","","Deg C","%","mm","Volts","Volts","%","","Deg C","hPa","Deg C","%"
"","","Smp","Avg","Avg","Tot","Max","Min","Max","Tot","Avg","Avg","Std","Std"
"2022-07-07 03:00:00",9274,69739,22.47944,99.91041,1.8,12.73513,12.62852,11.88951,1200,22.41028,27.23098,0.07035885,0.06485795
"2022-07-07 04:00:00",9275,69739,22.37346,99.79556,0,12.71246,12.61509,11.82235,1200,22.28553,27.05625,0.07336132,0.1633714
"2022-07-07 05:00:00",9276,69739,22.24059,99.9101,0,12.69148,12.6025,11.61326,1200,22.1717,26.8387,0.0932542,0.06658778
"2022-07-07 06:00:00",9277,69739,22.03856,99.9124,0,12.7175,12.59578,11.54763,1200,21.97024,26.51043,0.06939179,0.06425134
"2022-07-07 07:00:00",9278,69739,22.81062,98.031,0,13.24047,12.66126,11.5751,1200,22.42183,27.79859,0.5856852,2.48672
"2022-07-07 08:00:00",9279,69739,25.17532,87.05839,0,13.22284,13.07594,8.847686,1200,22.80412,32.03873,0.6051405,2.344332
"2022-07-07 09:00:00",9280,69739,25.65594,83.75957,0,13.17667,13.04572,7.942619,1200,22.64276,32.95144,0.2778202,1.291195
"2022-07-07 10:00:00",9281,69739,27.46957,79.13647,0.2,13.15569,12.99955,7.500005,1200,23.46515,36.68111,0.6274748,1.944355
"2022-07-07 11:00:00",9282,69739,28.7695,73.71906,0,13.13134,13.01298,8.327233,1200,23.54373,39.55011,0.4344523,1.842227
"2022-07-07 12:00:00",9283,69739,28.8786,73.87509,0,13.14729,13.02137,8.434071,1200,23.67894,39.80082,0.4398927,2.536203
"2022-07-07 13:00:00",9284,69739,28.13088,78.25082,1,13.15988,13.00375,10.36631,1200,23.86957,38.17082,1.116495,6.081529
"2022-07-07 14:00:00",9285,69739,27.13573,85.00983,0.2,13.16576,13.04992,10.05495,1200,24.32765,35.96611,0.5455254,2.674535
"2022-07-07 15:00:00",9286,69739,27.36771,81.27672,0,13.16324,13.04404,9.957272,1200,23.80983,36.44788,0.3345492,2.15717
"2022-07-07 16:00:00",9287,69739,26.84874,81.92459,0,13.16324,13.03732,10.58761,1200,23.40648,35.39928,0.9684752,5.128272
"2022-07-07 17:00:00",9288,69739,25.89178,86.6061,0,13.19346,13.03061,10.37546,1200,23.42561,33.41309,0.2083201,1.429039
"2022-07-07 18:00:00",9289,69739,25.6457,89.05042,0,13.09273,12.84341,9.771069,1200,23.64108,32.93371,0.3502461,2.465964
"2022-07-07 19:00:00",9290,69739,24.57081,93.98113,0,12.89714,12.76367,9.748176,1200,23.47791,30.8926,0.3405118,1.560643
"2022-07-07 20:00:00",9291,69739,23.8382,96.15769,0,12.85013,12.74856,9.584866,1200,23.13198,29.5606,0.08407248,0.9542449
"2022-07-07 21:00:00",9292,69739,23.65891,95.38981,0,12.83922,12.72254,9.348296,1200,22.8219,29.24363,0.08572797,0.5248592
"2022-07-07 22:00:00",9293,69739,23.10481,97.84882,0,12.81487,12.7133,9.362033,1200,22.68947,28.28624,0.2989556,1.113677
"2022-07-07 23:00:00",9294,69739,22.43622,99.72025,0,12.79809,12.69735,9.27809,1200,22.33578,27.16105,0.195943,0.18662
"2022-07-08 00:00:00",9295,69739,22.1292,99.82721,0,12.78046,12.69064,9.296404,1200,22.04675,26.65902,0.2180887,0.1713305
"2022-07-08 01:00:00",9296,69739,21.66448,99.90865,0,12.76535,12.67469,9.250616,1200,21.59598,25.91295,0.1535999,0.06364699
"2022-07-08 02:00:00",9297,69739,21.29733,99.91168,0,12.7494,12.64027,9.247564,1200,21.22972,25.33715,0.1525968,0.06428645
"2022-07-08 03:00:00",9298,69739,21.13161,99.91042,0,12.72421,12.62348,9.171252,1200,21.06396,25.08038,0.09301981,0.06420801
"2022-07-08 04:00:00",9299,69739,21.41953,99.90746,0,12.71246,12.61173,9.630653,1200,21.3511,25.5282,0.1972227,0.06756805
"2022-07-08 05:00:00",9300,69739,21.66099,99.90987,0,12.69483,12.5983,10.41973,1200,21.59266,25.90684,0.1105895,0.06375568
"2022-07-08 06:00:00",9301,69739,21.74303,99.90926,0,12.73513,12.59494,10.66851,1200,21.67451,26.03709,0.1188085,0.06580462
"2022-07-08 07:00:00",9302,69739,22.55302,99.68335,0,13.18926,12.66629,10.44262,1200,22.44592,27.35946,0.3920331,0.5999855
"2022-07-08 08:00:00",9303,69739,24.14858,93.55786,0,13.24467,13.08601,8.136452,1200,22.9857,30.12021,0.2923776,1.352732
"2022-07-08 09:00:00",9304,69739,25.08253,90.73279,0,13.18339,13.05495,8.076928,1200,23.40048,31.84907,0.3123917,1.642485
"2022-07-08 10:00:00",9305,69739,24.59912,95.31958,1,13.20437,13.08182,9.64439,1200,23.74086,30.94251,0.2587778,1.60876
"2022-07-08 11:00:00",9306,69739,25.99739,88.45255,0,13.18926,13.07006,9.441398,1200,23.85957,33.65668,0.8407425,4.286052
"2022-07-08 12:00:00",9307,69739,28.10963,78.34112,0,13.16576,13.03397,7.591579,1200,23.91483,38.06656,0.4781973,2.439599
"2022-07-08 13:00:00",9308,69739,27.06711,82.59313,7.599998,13.15569,12.88287,10.39989,1200,23.70423,35.99202,1.884979,7.901205
"2022-07-08 14:00:00",9309,69739,22.7659,99.52332,33.40004,12.98024,12.81823,10.66851,1200,22.63205,27.71065,0.2393946,0.6186895
"2022-07-08 15:00:00",9310,69739,22.60647,99.43364,1,13.14058,12.82495,9.829066,1200,22.45837,27.44192,0.08953789,0.3221793
"2022-07-08 16:00:00",9311,69739,23.48336,99.43128,0,13.24131,13.08853,9.893168,1200,23.33271,28.94321,0.4027879,0.6938324
"2022-07-08 17:00:00",9312,69739,24.32773,97.50764,0,13.21445,13.05915,9.943535,1200,23.85072,30.4424,0.1585474,0.3695101
"2022-07-08 18:00:00",9313,69739,24.56752,97.00365,0,13.09692,12.82411,10.76466,1200,24.00323,30.8814,0.09878521,0.1803587
"2022-07-08 19:00:00",9314,69739,24.44799,96.56535,0,12.88874,12.76954,10.86692,1200,23.80873,30.66132,0.07819445,0.6715448
"2022-07-08 20:00:00",9315,69739,24.32653,95.2408,0,12.84593,12.73932,10.88829,1200,23.45897,30.43946,0.09682006,0.3926914
"2022-07-08 21:00:00",9316,69739,23.98087,91.26212,0,12.82075,12.71666,11.05617,1200,22.4096,29.8214,0.3779544,1.641835
"2022-07-08 22:00:00",9317,69739,23.16876,95.42445,0,12.8006,12.7091,10.95849,1200,22.34107,28.39227,0.1066203,0.6132006
"2022-07-08 23:00:00",9318,69739,23.0431,96.06291,0.2,12.79053,12.68476,10.85776,1200,22.3257,28.17765,0.125275,0.7145418
"2022-07-09 00:00:00",9319,69739,22.84099,97.04233,0,12.77542,12.67217,10.78145,1200,22.29178,27.83472,0.08378956,0.3735484
"2022-07-09 01:00:00",9320,69739,22.52835,99.30076,0.2,12.75108,12.65454,11.21643,1200,22.3582,27.31234,0.1139011,0.5864905
"2022-07-09 02:00:00",9321,69739,22.39162,99.90385,0.2,12.73093,12.63859,11.34158,1200,22.32147,27.08616,0.08209772,0.07299843
"2022-07-09 03:00:00",9322,69739,22.40289,99.91519,0,12.71918,12.62852,11.48047,1200,22.33461,27.1047,0.07791915,0.06291593
"2022-07-09 04:00:00",9323,69739,22.43896,99.90902,0,12.70239,12.60333,11.48658,1200,22.36964,27.16413,0.07837098,0.06487964
"2022-07-09 05:00:00",9324,69739,22.41422,99.90784,0,12.69232,12.59158,11.55526,1200,22.34474,27.12336,0.07358734,0.06396106
"2022-07-09 06:00:00",9325,69739,22.34252,99.9069,0,12.80984,12.59998,11.53236,1200,22.27299,27.00569,0.1053229,0.06838872
"2022-07-09 07:00:00",9326,69739,23.50338,98.16326,0,13.23207,12.74436,11.33243,1200,23.13659,28.99288,0.6950411,1.889517
"2022-07-09 08:00:00",9327,69739,25.64013,91.39455,0,13.19094,13.04236,7.79915,1200,24.07098,32.92546,0.4177814,1.747505
"2022-07-09 09:00:00",9328,69739,27.22023,82.85542,0.2,13.15988,13.04152,8.061666,1200,23.98242,36.13931,0.448897,2.684406
"2022-07-09 10:00:00",9329,69739,28.32528,77.51724,0,13.14729,13.01802,7.95025,1200,23.95309,38.54063,0.3478157,1.339507
"2022-07-09 11:00:00",9330,69739,28.36177,79.21115,0.2,13.14813,13.00794,10.21063,1200,24.32393,38.65032,0.7844229,4.441149
"2022-07-09 12:00:00",9331,69739,28.51911,76.37274,0,13.14058,13.01214,9.920642,1200,23.88381,38.97675,0.351967,2.948759
"2022-07-09 13:00:00",9332,69739,27.04703,84.6985,0.2,13.16408,13.03397,10.70514,1200,24.17057,35.78022,0.5574055,3.867798
"2022-07-09 14:00:00",9333,69739,28.18129,77.61543,0,13.15233,13.03145,9.864169,1200,23.83575,38.2157,0.2328684,1.187923
"2022-07-09 15:00:00",9334,69739,25.80719,89.32994,7.399998,13.14981,12.89798,11.31564,1200,23.80832,33.33414,1.33485,6.484912
"2022-07-09 16:00:00",9335,69739,23.2609,96.18321,0.8,12.97353,12.83586,11.08059,1200,22.56245,28.55395,0.2907691,1.021054
"2022-07-09 17:00:00",9336,69739,22.77769,98.87524,6.599998,12.89378,12.75191,10.34189,1200,22.53627,27.72835,0.09845824,0.7254099
"2022-07-09 18:00:00",9337,69739,22.43078,98.87077,4.2,12.84258,12.73009,10.20758,1200,22.18918,27.15079,0.09498161,0.8680359
"2022-07-09 19:00:00",9338,69739,22.34142,99.8704,3,12.81487,12.70071,10.18774,1200,22.26586,27.00363,0.07426544,0.08454882
"2022-07-09 20:00:00",9339,69739,22.30018,99.90508,0.2,12.79221,12.69399,10.50672,1200,22.2304,26.93603,0.07279772,0.06487137
"2022-07-09 21:00:00",9340,69739,22.11547,99.90982,0,12.7729,12.67049,10.74177,1200,22.04664,26.6351,0.09478073,0.06276446
"2022-07-09 22:00:00",9341,69739,22.10682,99.90714,0,12.74436,12.64195,11.01649,1200,22.03761,26.62093,0.07555126,0.0659703
"2022-07-09 23:00:00",9342,69739,22.02885,99.90468,0,12.72589,12.62096,11.07144,1200,21.95933,26.49472,0.06434157,0.06527962
"2022-07-10 00:00:00",9343,69739,22.00933,99.90828,0,12.71498,12.61509,11.2149,1200,21.94038,26.46325,0.07017668,0.06632085
"2022-07-10 01:00:00",9344,69739,22.03112,99.90852,0.2,12.69735,12.5941,11.27901,1200,21.96219,26.49838,0.06972332,0.06600929
"2022-07-10 02:00:00",9345,69739,21.91397,99.91055,0,12.68812,12.58906,11.33395,1200,21.8455,26.30976,0.06884266,0.06587984
"2022-07-10 03:00:00",9346,69739,21.87233,99.90547,0,12.68644,12.58655,11.40568,1200,21.80305,26.24299,0.06779577,0.06384905
"2022-07-10 04:00:00",9347,69739,21.85221,99.90631,0,12.67553,12.5899,11.43011,1200,21.78312,26.21083,0.06926364,0.06750577
