"TOA5","Coopevega","CR200X","18977","CR200X.Std.04","CVG15062021.CR2","54234","Diarios"
"TIMESTAMP","RECORD","ESTACION","TEMP_C_Max","TEMP_C_TMx","RH_Max","RH_TMx","TEMP_C_Min","TEMP_C_TMn","RH_Min","RH_TMn","Acum5_Max","Acum10_Max","Acum15_Max","Acum30_Max","LLUV_mm_Tot","Acum60_Max","Acum120_Max"
"TS","RN","","Deg C","Deg C","%","%","Deg C","Deg C","%","%","mm","mm","mm","mm","mm","mm","mm"
"","","Smp","Max","TMx","Max","TMx","Min","TMn","Min","TMn","Max","Max","Max","Max","Tot","Max","Max"
"2022-07-30 07:00:00",409,69739,29.73448,"2022-07-29 11:43:15",100,"2022-07-29 07:00:06",21.02874,"2022-07-29 07:01:00",63.89199,"2022-07-29 11:39:09",0.2,0.2,0.2,0.2,0.2,0.2,0.2
"2022-07-31 07:00:00",410,69739,29.76806,"2022-07-30 11:24:03",100,"2022-07-30 23:30:03",22.1139,"2022-07-31 05:13:57",69.72227,"2022-07-30 11:07:45",3.2,3.8,3.8,3.8,7.999997,3.8,4.800001
"2022-08-01 07:00:00",411,69739,30.72044,"2022-07-31 13:13:51",100,"2022-07-31 21:34:00",21.3874,"2022-08-01 05:53:45",64.04156,"2022-07-31 13:25:48",1.8,3,4,4.2,6.199998,4.2,4.2
"2022-08-02 07:00:00",412,69739,30.4854,"2022-08-01 10:19:18",100,"2022-08-01 07:00:39",21.6255,"2022-08-02 04:20:00",64.63069,"2022-08-01 11:08:30",4,5.400001,9,9.800001,24.60002,11,12
"2022-08-03 07:00:00",413,69739,25.63496,"2022-08-02 12:43:39",100,"2022-08-02 07:00:12",21.22867,"2022-08-03 03:50:54",88.49822,"2022-08-02 12:45:24",7.200001,12.2,19,26.8,44.00008,28,29.4
"2022-08-04 07:00:00",414,69739,24.649,"2022-08-03 11:12:42",100,"2022-08-03 07:00:12",20.5037,"2022-08-04 01:17:21",86.70641,"2022-08-03 11:15:09",1.8,3.2,4,5.2,12.59999,5.6,5.8
"2022-08-05 07:00:00",415,69739,27.67403,"2022-08-04 12:06:03",100,"2022-08-04 07:00:12",20.97836,"2022-08-04 07:09:54",74.91763,"2022-08-04 12:54:12",1,1.4,1.4,1.6,4.8,1.6,2.6
"2022-08-06 07:00:00",416,69739,28.04034,"2022-08-05 12:34:42",100,"2022-08-05 07:02:27",21.66823,"2022-08-06 05:10:18",74.33765,"2022-08-05 12:33:45",2.6,4.2,5.6,7.400001,47.8001,11.2,16.4
"2022-08-07 07:00:00",417,69739,26.23325,"2022-08-06 10:10:30",100,"2022-08-06 07:00:36",21.60413,"2022-08-07 05:19:39",83.76226,"2022-08-06 09:38:36",1.4,2.2,2.8,4.400001,24.60002,7.000001,12.4
"2022-08-08 07:00:00",418,69739,28.13955,"2022-08-07 14:29:36",100,"2022-08-07 07:00:21",22.06201,"2022-08-07 07:01:36",77.29858,"2022-08-07 14:33:57",1.6,2.2,2.2,2.2,5.199999,2.2,2.2
"2022-08-09 07:00:00",419,69739,25.94631,"2022-08-08 12:05:39",100,"2022-08-08 07:00:18",21.41182,"2022-08-09 05:37:21",82.8984,"2022-08-08 12:24:48",3,4.8,5.4,8.200001,17.19999,12.4,15.4
"2022-08-10 07:00:00",420,69739,30.71738,"2022-08-09 11:18:51",100,"2022-08-09 07:01:00",21.98417,"2022-08-10 05:26:51",61.33551,"2022-08-09 13:04:33",1.4,1.8,1.8,2,2.6,2.6,2.6
"2022-08-11 07:00:00",421,69739,29.38191,"2022-08-10 15:04:09",100,"2022-08-10 23:35:30",22.33826,"2022-08-11 06:07:18",73.83399,"2022-08-10 15:08:51",0.4,0.4,0.4,0.6,2.2,1.2,2.6
"2022-08-12 07:00:00",422,69739,29.88557,"2022-08-11 13:43:03",100,"2022-08-11 07:00:21",20.986,"2022-08-12 03:46:33",69.19112,"2022-08-11 13:20:24",6.4,10.8,14.8,18,84.59987,28.6,47.60001
"2022-08-13 07:00:00",423,69739,25.62733,"2022-08-12 10:58:03",100,"2022-08-12 07:00:12",21.58887,"2022-08-13 05:48:51",86.64688,"2022-08-12 10:51:36",0.8,1,1.4,2,4.4,2.6,2.8
"2022-08-14 07:00:00",424,69739,31.36451,"2022-08-13 14:23:00",100,"2022-08-13 07:02:12",21.85138,"2022-08-13 07:04:30",58.30895,"2022-08-13 14:23:27",0.2,0.2,0.2,0.2,0.2,0.2,0.2
"2022-08-15 07:00:00",425,69739,32.02843,"2022-08-14 11:11:57",100,"2022-08-14 23:22:03",21.94601,"2022-08-15 05:32:30",57.43898,"2022-08-14 13:05:45",0,0,0,0,0,0,0
"2022-08-16 07:00:00",426,69739,30.31902,"2022-08-15 10:31:51",100,"2022-08-15 07:00:45",22.03759,"2022-08-16 02:07:03",62.97775,"2022-08-15 11:45:33",0.4,0.4,0.4,0.4,0.4,0.4,0.4
"2022-08-17 07:00:00",427,69739,30.29308,"2022-08-16 11:14:51",100,"2022-08-16 13:24:12",20.36939,"2022-08-17 02:33:15",62.58551,"2022-08-16 11:50:57",9.8,16,21.2,28.8,29.00002,29,29
"2022-08-18 07:00:00",428,69739,29.97105,"2022-08-17 14:21:06",100,"2022-08-17 07:00:06",21.6255,"2022-08-17 07:00:33",65.94021,"2022-08-17 14:01:39",0,0,0,0,0,0,0
